,Tunnel,PegStart,PegEnd,PenetrNormMean,PenetrNormMedian,PenetrNormVariance,PenetrNormStandardDeviation,PenetrNormSkewness,PenetrNormKurtosis,PenetrRMSMean,PenetrRMSMedian,PenetrRMSVariance,PenetrRMSStandardDeviation,PenetrRMSSkewness,PenetrRMSKurtosis,RotaPressNormMean,RotaPressNormMedian,RotaPressNormVariance,RotaPressNormStandardDeviation,RotaPressNormSkewness,RotaPressNormKurtosis,RotaPressRMSMean,RotaPressRMSMedian,RotaPressRMSVariance,RotaPressRMSStandardDeviation,RotaPressRMSSkewness,RotaPressRMSKurtosis,FeedPressNormMean,FeedPressNormMedian,FeedPressNormVariance,FeedPressNormStandardDeviation,FeedPressNormSkewness,FeedPressNormKurtosis,HammerPressNormMean,HammerPressNormMedian,HammerPressNormVariance,HammerPressNormStandardDeviation,HammerPressNormSkewness,HammerPressNormKurtosis,WaterFlowNormMean,WaterFlowNormMedian,WaterFlowNormVariance,WaterFlowNormStandardDeviation,WaterFlowNormSkewness,WaterFlowNormKurtosis,WaterFlowRMSMean,WaterFlowRMSMedian,WaterFlowRMSVariance,WaterFlowRMSStandardDeviation,WaterFlowRMSSkewness,WaterFlowRMSKurtosis,Rock,transition_zone,round_length
3277,mjaavann_west,1116.0,1121.0,26.175,28.633,360.377,18.984,-2.517,9.508,6.107,4.833,23.438,4.841,1.378,2.323,4.675,3.911,73.948,8.599,0.593,1.518,2.701,1.924,5.91,2.431,2.21,7.352,17.451,18.775,38.577,6.211,-5.08,26.676,-2.893,-2.759,4.752,2.18,-11.032,141.139,-5.332,-3.695,76.038,8.72,1.167,3.417,3.48,2.412,11.807,3.436,1.066,0.401,Granittic_gneiss,False,5.0
1789,drammen,55157.0,55163.0,0.885,1.55,515.664,22.708,-1.121,2.249,4.475,3.753,18.803,4.336,2.464,10.993,14.608,13.964,177.527,13.324,0.273,-0.968,3.028,2.498,7.433,2.726,1.638,5.735,0.652,3.656,74.542,8.634,-2.894,9.784,-2.142,-0.49,31.485,5.611,-4.186,20.268,20.822,23.387,129.529,11.381,-0.847,0.39,1.999,1.374,3.624,1.904,1.81,4.013,Drammensgranite,False,6.0
64,gramunk,100860.0,100865.0,15.548,16.286,482.872,21.974,-0.457,1.429,5.566,4.676,21.659,4.654,2.08,9.149,-7.62,-3.462,271.894,16.489,-0.62,-0.501,2.332,1.887,4.757,2.181,3.328,20.367,-23.303,-18.912,225.38,15.013,-0.469,-0.683,-12.432,-6.027,178.26,13.351,-0.845,-0.782,-6.081,-6.477,30.46,5.519,-0.303,17.861,1.066,0.421,3.387,1.84,6.939,85.343,Rhomb_porphyry,False,5.0
893,gran_east,8839.0,8840.0,17.847,18.603,583.793,24.162,-0.381,0.057,5.386,4.043,32.131,5.668,1.642,3.174,-7.471,-0.965,205.9,14.349,-0.383,-1.0,2.363,1.853,7.079,2.661,3.053,18.0,-36.8,-39.481,373.398,19.324,0.547,-0.31,-11.346,-9.48,110.237,10.499,-1.41,2.912,-4.244,-9.459,734.573,27.103,3.593,16.411,1.908,0.705,17.868,4.227,6.941,69.168,Hagaberg_shale,False,1.0
2410,drammen,58606.0,58612.0,-33.361,-31.722,158.205,12.578,-0.334,0.739,2.859,2.582,5.061,2.25,3.074,20.972,4.266,3.872,146.295,12.095,0.606,1.263,2.158,2.001,2.629,1.621,3.349,37.353,9.041,11.169,201.106,14.181,-2.176,7.108,-2.223,-1.251,43.211,6.573,-2.766,11.369,-24.991,3.271,2097.724,45.801,-0.679,-1.263,1.929,1.17,7.638,2.764,4.523,33.517,Drammensgranite,False,6.0
603,gran_east,8254.0,8255.0,5.655,8.304,468.665,21.649,-0.869,0.823,6.125,5.273,23.496,4.847,1.023,1.169,4.98,5.997,112.881,10.625,0.04,0.955,3.13,2.614,6.257,2.501,1.315,2.82,-33.67,-32.38,127.551,11.294,1.123,3.814,-4.782,-0.225,106.501,10.32,-2.069,2.812,19.467,18.797,85.4,9.241,0.104,-0.674,1.406,0.646,4.122,2.03,2.546,6.907,Blackshale,False,1.0
845,gran_east,8789.0,8790.0,15.579,16.448,485.564,22.036,-0.057,-0.11,7.269,5.824,49.976,7.069,1.102,1.154,6.231,5.785,86.829,9.318,0.507,1.384,3.453,2.744,12.289,3.506,1.535,4.001,-31.218,-33.23,281.262,16.771,0.557,-0.348,-8.337,-0.655,135.552,11.643,-1.107,-0.263,12.772,13.069,100.426,10.021,-0.448,1.915,1.196,0.617,2.846,1.687,2.459,6.959,Blackshale,False,1.0
847,gran_east,8791.0,8792.0,16.541,22.609,487.256,22.074,-0.421,-0.481,7.165,5.752,38.526,6.207,1.241,1.657,9.826,10.193,118.647,10.893,-0.076,0.571,3.829,2.926,14.658,3.829,2.418,9.827,-33.018,-32.194,133.605,11.559,0.488,2.971,-6.653,-0.275,135.816,11.654,-1.428,0.368,10.306,8.401,59.091,7.687,0.369,-0.039,0.847,0.517,1.289,1.135,3.267,13.765,Blackshale,False,1.0
1577,gran_west,8622.0,8623.0,16.467,21.499,370.813,19.257,-0.477,-0.533,5.284,4.482,19.671,4.435,1.67,4.409,-0.168,2.186,178.447,13.358,-0.766,0.375,2.287,1.878,4.515,2.125,2.801,15.292,-30.235,-25.53,151.853,12.323,-0.956,2.15,-4.539,-0.06,113.255,10.642,-2.032,2.353,10.029,8.568,90.609,9.519,0.667,0.357,1.087,0.54,2.357,1.535,2.653,7.541,Blackshale,False,1.0
332,skottas,96902.0,96908.0,-6.056,-8.983,506.486,22.505,0.231,1.022,4.918,3.837,22.273,4.719,2.538,10.702,5.828,6.452,86.53,9.302,-0.822,3.261,2.642,1.964,8.812,2.968,3.995,24.631,-9.31,-5.341,207.871,14.418,-1.594,2.402,-7.138,-0.55,141.501,11.895,-1.467,0.478,-4.917,-6.353,82.3,9.072,0.257,5.161,0.985,0.331,5.206,2.282,8.1,97.841,Rhomb_porphyry,False,6.0
3512,soegne_east,7373.0,7378.0,-1.794,-0.45,314.069,17.722,-0.967,3.237,6.524,5.747,17.515,4.185,1.612,4.959,5.83,8.055,383.208,19.576,-0.25,-0.44,4.02,3.226,9.419,3.069,1.783,4.364,2.466,4.512,102.055,10.102,-3.073,14.134,0.938,2.389,29.5,5.431,-4.177,19.34,-7.443,-7.885,70.467,8.394,0.451,0.582,2.506,1.484,6.107,2.471,2.976,25.034,Granittic_gneiss,False,5.0
1274,gran_west,8112.0,8113.0,4.488,5.228,310.039,17.608,-0.547,0.887,6.518,5.675,22.244,4.716,0.875,0.834,8.958,9.978,103.436,10.17,-0.106,0.075,3.04,2.524,8.237,2.87,6.939,111.183,-31.239,-29.149,95.559,9.775,-0.064,5.498,-3.822,-0.225,86.088,9.278,-2.788,10.186,9.785,11.255,27.884,5.281,-1.571,2.67,1.1,0.571,2.63,1.622,3.617,16.441,Blackshale,False,1.0
3887,soegne_east,9454.0,9459.0,-5.265,-3.72,402.645,20.066,-0.388,0.72,6.768,5.795,21.209,4.605,1.351,2.924,16.438,15.561,393.53,19.838,0.324,-0.48,4.194,3.456,11.461,3.385,2.945,23.324,11.526,16.369,194.501,13.946,-2.671,8.627,-1.369,-0.087,40.823,6.389,-4.594,19.876,-6.948,-6.138,81.718,9.04,0.318,0.158,4.388,3.36,13.437,3.666,0.804,-0.362,Amphibolittic_gneiss,False,5.0
423,skottas,97381.0,97387.0,-44.737,-46.286,153.956,12.408,2.056,13.184,2.669,2.163,5.92,2.433,4.809,51.202,-12.169,-14.397,164.292,12.818,0.406,-0.541,2.637,2.288,4.666,2.16,3.877,29.307,-30.374,-31.75,95.316,9.763,0.606,2.974,-8.059,-5.389,84.469,9.191,-2.411,4.593,50.618,59.93,877.431,29.621,-1.029,0.055,1.979,0.742,15.637,3.954,3.919,18.787,Rhomb_porphyry,False,6.0
2133,drammen,57077.0,57082.0,-47.722,-50.278,247.499,15.732,1.869,8.93,5.311,4.0,24.84,4.984,2.482,12.624,6.756,5.143,388.26,19.704,0.036,-0.973,5.454,4.799,16.201,4.025,1.418,4.31,-21.687,-25.519,397.077,19.927,0.22,0.942,-9.863,-5.789,101.963,10.098,-1.555,1.28,17.732,9.45,428.393,20.698,1.24,0.154,2.195,0.995,11.616,3.408,4.195,24.256,Hornfels,False,5.0
2019,drammen,56444.0,56449.0,-30.645,-32.161,292.533,17.104,2.759,19.699,3.986,3.542,13.866,3.724,6.389,83.899,22.791,22.798,190.094,13.787,-0.386,0.699,3.343,2.909,8.043,2.836,3.227,24.45,-6.721,-1.291,144.148,12.006,-2.406,7.14,-3.668,-0.275,72.248,8.5,-2.917,7.977,-11.834,-15.487,135.536,11.642,1.053,1.177,1.288,0.368,5.508,2.347,3.932,24.233,Hornfels,False,5.0
955,gran_east,8901.0,8902.0,15.749,20.299,558.092,23.624,-0.913,1.218,5.829,4.858,23.322,4.829,1.199,1.562,-1.748,0.256,125.32,11.195,-0.568,0.046,4.134,3.0,17.426,4.174,2.625,9.946,-35.124,-30.34,184.817,13.595,-0.427,0.231,-10.366,-5.625,78.35,8.852,-1.459,0.906,-20.221,-18.504,68.414,8.271,-1.571,6.025,1.163,0.806,1.994,1.412,4.021,25.511,Hagaberg_shale,False,1.0
80,gramunk,100937.0,100941.0,19.73,21.015,412.654,20.314,-0.898,3.382,5.607,4.738,20.435,4.52,2.577,12.452,3.466,3.384,74.006,8.603,-0.207,0.577,2.217,1.91,3.183,1.784,3.689,29.404,-18.382,-12.55,189.985,13.783,-0.785,0.348,-12.543,-5.838,201.209,14.185,-0.705,-1.001,4.594,10.52,188.768,13.739,-1.079,2.076,1.638,0.543,9.817,3.133,6.239,64.191,Rhomb_porphyry,False,4.0
2385,drammen,58471.0,58477.0,-9.02,-7.102,258.452,16.076,-0.179,0.872,4.132,3.507,14.941,3.865,3.121,25.84,-4.636,-6.733,284.506,16.867,0.912,0.806,2.679,2.153,8.017,2.831,4.633,46.443,-7.86,-3.038,152.076,12.332,-2.547,6.879,-3.612,-0.24,119.488,10.931,-2.065,3.16,8.993,12.273,137.225,11.714,-0.355,-0.573,1.243,0.487,3.912,1.978,3.496,15.973,Drammensgranite,False,6.0
1806,drammen,55237.5,55240.0,11.543,13.535,249.299,15.789,-2.058,9.064,3.493,3.156,9.894,3.145,2.801,20.745,2.655,1.905,121.446,11.02,-0.231,1.566,1.641,1.476,2.279,1.51,4.07,48.776,-1.212,3.716,203.888,14.279,-2.977,7.99,-5.503,-0.705,99.393,9.97,-2.226,3.942,-2.947,-0.391,83.755,9.152,-1.072,0.787,1.761,0.959,4.076,2.019,1.774,3.118,Drammensgranite,False,2.5
3011,lindeli_east,13999.0,14005.0,-24.309,-22.6,141.353,11.889,-1.017,4.221,4.083,3.315,9.862,3.14,2.743,13.631,-6.863,-6.474,143.826,11.993,0.157,-0.443,2.342,1.605,5.714,2.39,3.373,18.836,-9.843,-5.159,140.363,11.847,-3.056,8.895,-1.922,-0.133,50.903,7.135,-3.78,13.163,0.939,0.0,100.52,10.026,0.261,0.512,1.575,0.37,5.328,2.308,1.48,1.356,Granittic_gneiss,False,6.0
4619,soegne_west,9584.0,9590.0,-7.03,-2.501,357.058,18.896,-0.941,0.764,5.644,4.832,16.107,4.013,2.213,9.807,17.431,16.394,197.916,14.068,0.519,-0.109,3.626,2.884,8.098,2.846,2.243,8.532,3.878,5.925,52.743,7.262,-3.971,18.82,-0.303,-0.062,5.937,2.437,-10.626,131.069,6.312,6.785,95.309,9.763,-0.233,0.301,4.409,2.319,24.382,4.938,1.427,1.068,Granittic_gneiss,True,6.0
4880,volleberg_west,3992.0,3996.0,-9.044,-7.858,367.268,19.164,-0.24,1.829,8.002,7.088,44.636,6.681,1.471,4.178,12.53,10.364,362.326,19.035,0.171,-0.223,5.789,4.531,32.181,5.673,1.835,4.295,-18.526,-16.2,605.015,24.597,0.573,5.04,-7.843,-2.308,172.462,13.132,-1.027,-0.476,4.871,8.721,423.854,20.588,-1.707,3.895,7.115,3.65,91.441,9.562,2.209,4.735,Granittic_gneiss,False,4.0
3342,soegne_east,6484.0,6489.0,-13.905,-11.98,362.759,19.046,-0.892,2.5,6.514,5.271,31.373,5.601,3.166,17.197,6.217,5.011,144.023,12.001,0.29,0.041,3.966,2.818,11.871,3.445,2.421,12.998,-1.993,1.085,80.227,8.957,-3.616,14.312,-1.114,-0.225,18.245,4.271,-5.369,34.184,1.096,0.732,145.108,12.046,0.322,0.503,4.16,3.747,9.845,3.138,0.833,0.411,Granittic_gneiss,False,5.0
2188,drammen,57391.0,57396.0,1.88,3.167,246.071,15.687,-1.655,7.108,3.527,3.14,11.611,3.407,4.908,58.087,16.03,13.912,139.091,11.794,0.664,0.212,2.143,1.889,3.437,1.854,2.258,11.487,-5.82,-1.906,113.116,10.636,-2.391,6.414,-2.996,-0.211,82.447,9.08,-2.219,4.345,3.1,-0.096,118.226,10.873,0.454,-0.773,1.205,0.867,2.109,1.452,2.378,8.143,Drammensgranite,False,5.0
3193,mjaavann_east,1008.0,1014.0,28.168,30.34,327.618,18.1,-3.546,16.268,4.489,3.575,12.59,3.548,2.212,7.807,7.598,5.697,119.044,10.911,0.635,0.298,2.415,1.894,3.649,1.91,2.178,7.022,18.066,18.775,14.131,3.759,-8.663,107.17,-2.683,-2.759,3.318,1.822,-8.857,159.738,-0.728,-0.194,93.587,9.674,-0.079,0.011,4.445,3.295,15.013,3.875,0.951,0.148,Augen_gneiss,True,6.0
616,gran_east,8300.0,8301.0,16.818,18.484,467.692,21.626,-0.272,-0.881,3.482,2.594,17.135,4.139,2.001,5.719,-4.17,-3.887,170.236,13.047,0.058,-0.87,1.554,1.031,3.958,1.99,2.697,11.433,-37.382,-34.52,264.803,16.273,0.306,0.095,-10.856,-0.605,206.272,14.362,-0.688,-1.376,14.918,11.848,112.46,10.605,0.658,-0.261,0.768,0.323,1.892,1.375,3.481,14.915,Blackshale,False,1.0
2777,brulihei_east,2451.0,2456.0,-2.103,-0.802,148.298,12.178,-1.274,5.428,5.082,4.135,14.576,3.818,2.2,8.536,3.407,1.446,83.829,9.156,0.888,3.963,2.935,1.894,11.017,3.319,3.924,23.547,-3.876,-2.712,47.905,6.921,-5.135,29.491,-0.997,-0.087,22.401,4.733,-5.955,35.959,-5.859,-6.727,30.797,5.549,0.066,3.993,2.993,2.102,7.908,2.812,3.156,18.298,Augen_gneiss,False,5.0
505,gran_east,8135.0,8136.0,8.562,5.992,296.423,17.217,0.761,1.803,5.775,4.854,35.218,5.935,1.53,3.656,3.842,2.433,75.589,8.694,-0.152,0.5,2.51,2.049,6.619,2.573,1.38,2.625,-24.583,-26.38,233.569,15.283,0.291,-0.218,-6.114,-0.275,96.634,9.83,-1.452,0.818,6.341,7.77,30.065,5.483,-0.388,-0.747,1.11,0.585,2.707,1.645,2.882,10.134,Huk_limestone,True,1.0
2482,drammen,59188.0,59194.0,-26.047,-26.38,184.484,13.583,0.493,5.981,3.158,2.793,8.968,2.995,2.684,22.454,9.142,9.148,130.998,11.445,-0.27,0.601,2.494,2.235,5.093,2.257,1.888,12.037,-0.992,0.856,272.268,16.501,-1.066,2.215,-6.16,-4.492,65.958,8.121,-2.496,6.204,-4.32,-3.878,273.669,16.543,0.373,-0.609,2.459,1.204,12.503,3.536,2.94,9.888,Drammensgranite,False,6.0
2579,drammen,59875.0,59882.0,-3.226,-1.843,416.749,20.414,-0.057,-0.078,4.486,4.071,11.775,3.431,2.52,15.347,13.882,15.404,98.876,9.944,-0.456,0.483,2.555,2.218,4.805,2.192,3.642,29.629,8.984,10.798,219.729,14.823,-1.78,5.331,-1.366,1.558,51.761,7.194,-2.805,9.293,0.406,0.965,83.096,9.116,-1.106,2.973,2.161,0.621,12.23,3.497,3.262,18.226,Drammensgranite,False,7.0
4404,soegne_west,8363.0,8369.0,-10.551,-10.497,280.448,16.747,-0.818,3.983,5.558,4.578,16.813,4.1,1.907,5.402,2.054,-4.054,368.448,19.195,0.485,-0.888,2.886,2.015,9.39,3.064,5.379,60.181,1.554,5.925,133.72,11.564,-3.794,20.33,2.186,0.79,40.029,6.327,-2.619,17.141,-13.014,-13.629,124.918,11.177,0.487,0.878,2.891,1.455,8.34,2.888,1.38,2.598,Granittic_gneiss,False,6.0
1396,gran_west,8248.0,8249.0,24.846,34.1,1050.854,32.417,-0.258,-0.632,4.489,2.868,30.118,5.488,2.013,6.033,6.522,4.872,135.072,11.622,0.531,0.342,1.616,1.042,3.47,1.863,1.495,2.835,-35.269,-33.637,261.392,16.168,0.376,0.451,-7.953,-0.225,158.793,12.601,-1.198,-0.259,15.098,13.818,108.796,10.431,0.225,-1.07,0.933,0.36,2.37,1.54,2.414,5.595,Huk_limestone,True,1.0
4072,soegne_west,6504.0,6509.0,-14.142,-14.629,327.811,18.106,-0.126,2.971,5.431,4.296,22.38,4.731,2.958,14.134,3.441,4.097,372.516,19.301,0.219,-0.546,3.28,2.308,10.742,3.278,3.591,23.253,-1.831,4.5,231.31,15.209,-2.273,5.4,-1.461,2.316,97.077,9.853,-2.462,4.616,3.952,4.084,158.105,12.574,-0.133,1.157,3.458,2.01,11.682,3.418,1.688,5.128,Granittic_gneiss,False,5.0
800,gran_east,8625.0,8626.0,5.64,13.058,1139.732,33.76,-0.096,-1.28,5.059,3.064,35.433,5.953,2.04,4.888,-1.573,-1.343,55.969,7.481,-0.042,-0.738,1.852,1.492,3.54,1.882,2.032,7.302,-35.715,-28.832,196.889,14.032,-1.059,-0.474,-7.988,-0.165,194.496,13.946,-1.249,-0.345,15.431,17.798,74.312,8.62,-0.237,-0.185,0.959,0.409,2.285,1.511,2.773,8.905,Blackshale,True,1.0
2717,brulihei_east,2104.0,2110.0,-4.726,-5.513,324.603,18.017,-0.531,1.139,3.84,3.012,9.382,3.063,2.377,8.603,0.489,-0.594,111.359,10.553,1.96,6.965,2.011,1.462,3.926,1.981,3.847,25.834,-6.886,-6.375,74.304,8.62,-3.395,15.208,-0.905,-0.087,26.44,5.142,-5.888,34.203,0.611,2.381,59.242,7.697,-0.624,0.788,4.357,3.512,14.638,3.826,0.868,-0.157,Augen_gneiss,False,6.0
1862,drammen,55548.0,55553.5,-7.003,-5.335,348.51,18.668,-1.15,4.502,3.679,2.956,13.942,3.734,3.831,25.181,1.974,-0.587,189.199,13.755,1.244,2.735,2.093,1.65,3.854,1.963,2.693,12.007,-0.015,5.078,119.97,10.953,-3.254,13.359,-3.233,-0.49,53.497,7.314,-3.472,12.085,13.648,7.249,163.528,12.788,0.468,-1.107,1.178,0.688,2.365,1.538,3.869,30.766,Drammensgranite,False,5.5
580,gran_east,8228.0,8229.0,5.924,6.916,419.934,20.492,-0.875,1.285,5.952,4.885,20.576,4.536,1.171,1.504,3.465,2.72,81.22,9.012,0.736,4.091,3.01,2.509,5.46,2.337,1.381,2.664,-33.57,-31.04,128.821,11.35,0.27,0.473,-6.275,-0.618,82.028,9.057,-1.387,1.363,14.448,12.151,38.251,6.185,0.216,-0.691,0.807,0.485,1.189,1.091,3.29,12.226,Huk_limestone,True,1.0
293,skottas,96748.0,96753.0,-2.95,-4.052,410.407,20.258,0.138,0.961,5.755,4.513,32.177,5.673,2.184,7.162,4.409,5.663,157.272,12.541,-0.609,1.036,3.542,2.576,15.317,3.914,2.693,10.068,-23.794,-19.306,464.882,21.561,-0.183,-0.893,-16.685,-12.64,238.958,15.458,-0.118,-1.783,-3.267,-4.522,318.829,17.856,-0.228,0.555,2.285,0.593,20.811,4.562,4.222,23.004,Rhomb_porphyry,False,5.0
758,gran_east,8507.0,8508.0,8.07,1.916,657.902,25.65,0.664,0.017,7.037,5.891,34.07,5.837,1.186,1.572,-3.569,-2.109,206.993,14.387,0.385,0.058,3.011,2.344,8.475,2.911,2.589,12.394,-28.352,-25.35,100.585,10.029,-0.582,4.422,-4.263,-0.06,110.758,10.524,-2.197,3.06,12.576,12.28,82.563,9.086,-0.773,4.039,1.594,0.747,3.906,1.976,2.08,5.575,Huk_limestone,False,1.0
4631,soegne_west,9649.0,9654.0,-2.804,-4.076,161.774,12.719,0.58,1.151,5.588,4.662,17.694,4.206,1.442,3.258,18.33,21.028,353.769,18.809,-0.464,-0.379,3.211,2.552,7.297,2.701,2.593,12.638,9.115,12.338,86.094,9.279,-4.284,27.069,-0.895,-0.087,22.446,4.738,-6.22,38.577,4.486,6.479,88.207,9.392,-0.487,0.754,4.418,3.007,17.523,4.186,1.215,0.645,Amphibolittic_gneiss,True,5.0
1622,gran_west,9137.0,9138.0,8.603,11.744,552.883,23.513,-0.366,-0.781,4.525,3.534,20.065,4.479,1.331,2.066,1.523,1.857,75.137,8.668,-0.774,1.369,2.545,2.223,5.508,2.347,1.355,3.915,-31.835,-27.5,214.905,14.66,-0.282,0.138,-9.145,-0.82,149.063,12.209,-0.87,-0.908,-0.377,0.913,59.556,7.717,-1.215,5.28,0.848,0.45,3.698,1.923,10.158,148.387,Blackshale,True,1.0
2956,brulihei_west,2583.0,2588.0,4.851,7.209,490.679,22.151,-0.44,0.253,7.535,6.356,30.598,5.532,1.196,2.073,20.292,18.531,200.307,14.153,0.533,0.0,3.979,3.238,9.169,3.028,1.437,3.483,10.569,12.619,126.456,11.245,-3.451,17.09,-0.936,-0.236,18.232,4.27,-6.628,45.611,-7.029,-6.41,18.156,4.261,-2.635,14.575,1.441,0.899,3.159,1.777,4.715,40.58,Granittic_gneiss,False,5.0
3066,lindeli_west,13769.0,13774.0,-10.43,-9.553,199.991,14.142,-1.151,3.762,5.582,4.825,13.689,3.7,1.583,4.327,-1.226,-1.942,101.273,10.063,0.691,1.421,3.14,2.213,8.163,2.857,2.26,7.075,-1.379,2.136,127.031,11.271,-3.556,12.563,-1.826,-0.133,44.158,6.645,-3.884,14.344,5.192,3.287,49.654,7.047,0.923,0.74,1.381,0.25,4.63,2.152,1.616,1.764,Amphibolittic_gneiss,False,5.0
2603,drammen,60004.0,60010.0,-21.054,-23.454,143.627,11.984,1.184,3.349,3.889,3.467,9.38,3.063,3.773,35.879,14.275,15.797,96.149,9.806,-0.311,0.627,2.541,2.248,3.605,1.899,2.23,13.74,9.527,15.065,307.138,17.525,-1.794,3.951,-1.779,0.045,98.984,9.949,-1.84,3.787,9.069,5.393,398.818,19.97,-0.282,-1.206,2.498,0.764,16.564,4.07,2.694,7.51,Drammensgranite,False,6.0
1723,drammen,54813.0,54818.0,-29.592,-32.409,263.073,16.22,0.778,2.07,4.934,4.021,17.979,4.24,2.13,8.138,-4.375,-5.264,120.169,10.962,0.64,0.869,3.784,3.196,10.118,3.181,2.638,13.591,-20.091,-15.462,158.422,12.587,-1.381,6.349,-5.041,-2.299,102.883,10.143,-1.579,2.229,-7.278,-7.332,550.185,23.456,-0.047,-1.045,9.84,8.443,58.217,7.63,0.779,0.31,Rhomb_porphyry,False,5.0
198,skottas,96276.0,96277.5,-6.551,-10.175,270.204,16.438,0.512,2.364,3.686,2.913,10.615,3.258,2.934,16.197,-13.396,-15.013,202.824,14.242,0.381,-0.717,1.754,1.291,3.741,1.934,4.774,38.281,-33.064,-47.0,515.176,22.697,0.834,-1.044,-26.257,-33.272,186.343,13.651,1.147,-0.373,10.875,13.26,100.446,10.022,-0.37,5.104,0.938,0.34,3.277,1.81,5.098,40.646,Rhomb_porphyry,False,1.5
2913,brulihei_west,2325.0,2329.0,2.926,1.937,288.741,16.992,-0.72,4.236,6.464,5.233,25.777,5.077,1.654,3.882,12.215,9.584,179.664,13.404,0.814,0.46,3.314,2.598,7.822,2.797,2.031,6.157,-6.592,-3.116,163.586,12.79,-2.963,7.707,-2.78,-0.277,73.537,8.575,-3.195,8.424,-5.461,-5.123,27.691,5.262,-0.971,3.139,2.663,1.526,7.435,2.727,1.827,4.709,Augen_gneiss,True,4.0
2480,drammen,59177.0,59182.5,-30.684,-31.691,305.981,17.492,0.062,1.075,3.323,2.419,17.461,4.179,2.595,11.139,6.708,8.075,178.663,13.366,-0.282,-0.024,2.56,2.001,9.979,3.159,2.466,10.738,4.45,6.169,481.793,21.95,-1.097,1.062,-6.571,-3.844,82.635,9.09,-2.256,3.924,6.144,4.431,223.966,14.965,-0.313,-0.09,2.201,0.923,14.496,3.807,3.67,17.484,Drammensgranite,False,5.5
47,gramunk,100762.0,100768.0,-0.753,-1.767,509.123,22.564,0.026,0.779,5.389,4.484,22.858,4.781,2.592,12.831,-0.954,-1.18,138.176,11.755,-0.117,-0.612,2.493,1.938,5.221,2.285,2.592,12.524,-19.27,-13.375,255.676,15.99,-1.283,1.417,-8.274,-5.341,180.796,13.446,-1.068,-0.108,3.816,11.286,198.049,14.073,-1.054,1.271,2.038,0.768,11.697,3.42,4.778,34.434,Rhomb_porphyry,False,6.0
2451,drammen,58849.0,58854.0,-3.873,-1.325,303.754,17.429,0.374,5.82,3.996,3.585,9.678,3.111,5.814,65.695,-4.237,-5.728,153.126,12.374,0.545,0.042,2.449,1.63,15.339,3.916,6.79,57.301,-4.875,-5.541,110.522,10.513,-1.944,6.597,-3.212,-0.305,64.2,8.013,-2.952,8.206,-20.08,-22.319,221.104,14.87,0.831,1.143,1.714,1.027,5.241,2.289,6.461,77.314,Drammensgranite,False,5.0
3122,lindeli_west,14116.0,14125.0,-26.354,-25.111,152.564,12.352,-1.549,6.53,4.116,3.265,11.542,3.397,3.082,16.327,-12.744,-14.11,100.979,10.049,0.533,-0.215,2.53,1.728,5.722,2.392,2.571,10.304,-12.247,-9.045,110.033,10.49,-3.511,12.385,-1.805,-0.133,49.527,7.038,-3.921,14.444,4.709,1.23,93.415,9.665,0.791,1.004,1.708,0.415,6.035,2.457,1.52,1.635,Granittic_gneiss,False,9.0
4521,soegne_west,9048.0,9053.0,-6.063,-4.378,350.243,18.715,-0.953,3.185,7.023,6.218,19.421,4.407,1.585,5.773,6.912,6.784,139.682,11.819,0.417,0.957,4.266,3.608,9.477,3.079,1.994,8.343,-5.882,-2.325,131.889,11.484,-2.281,19.243,1.512,0.123,38.397,6.196,-1.877,8.549,5.793,5.192,69.251,8.322,0.607,6.021,2.843,0.719,17.645,4.201,2.019,3.474,Amphibolittic_gneiss,False,5.0
2857,brulihei_west,1998.0,2004.0,6.944,5.8,346.891,18.625,0.027,0.489,6.532,5.171,24.986,4.999,1.444,2.695,5.62,4.264,107.276,10.357,0.862,1.136,2.639,2.077,4.623,2.15,2.493,10.713,-0.78,0.05,55.659,7.461,-6.191,41.559,-0.745,-0.223,13.768,3.71,-7.75,63.95,2.214,3.968,55.746,7.466,-0.656,0.078,4.667,3.549,17.261,4.155,0.796,-0.438,Granittic_gneiss,False,6.0
4351,soegne_west,8058.0,8064.0,-16.791,-16.045,265.276,16.287,-1.197,4.802,5.423,4.65,18.057,4.249,3.895,28.572,-2.341,-5.842,335.561,18.318,0.552,-0.235,2.477,1.712,6.776,2.603,3.872,26.341,8.488,12.35,122.083,11.049,-2.972,14.799,1.347,0.344,40.678,6.378,-2.329,9.961,-2.177,-0.151,155.928,12.487,-0.736,2.678,4.398,1.331,31.238,5.589,1.435,0.923,Granittic_gneiss,False,6.0
1083,gran_west,7905.0,7906.0,5.596,6.035,393.496,19.837,-0.351,-0.277,5.884,5.029,14.43,3.799,1.382,3.015,3.721,3.83,82.85,9.102,0.056,-0.46,2.77,2.294,3.759,1.939,1.523,4.009,-28.837,-25.44,59.217,7.695,-2.007,6.46,-1.34,-0.06,33.033,5.747,-4.693,22.19,-1.746,2.013,98.74,9.937,-0.705,-0.623,1.587,0.75,4.808,2.193,3.06,11.882,Elnes_lime_shale,False,1.0
